,Country,Year,Energy Source,Renewable,Generation_TWh,Emissions_Mt,gCO2_per_kWh
24943,Madagascar,2007,Wind,True,0.0,0.0,
24944,Madagascar,2007,Solar,True,0.0,0.0,
24945,Malawi,2007,Gas,False,0.0,0.0,
24946,Malawi,2007,Wind,True,0.0,0.0,
24947,Malawi,2007,Coal,False,0.0,0.0,
24948,Malawi,2007,Solar,True,0.0,0.0,
24949,Malawi,2007,Other renewables excluding bioenergy,True,0.0,0.0,
24950,Malawi,2007,Bioenergy,True,0.06,0.01,166.7
24951,Malawi,2007,Oil,False,0.15,0.1,666.7
24952,Malawi,2007,Nuclear,False,0.0,0.0,
24953,Malawi,2007,Hydro,True,1.37,0.03,21.9
24954,Malaysia,2007,Wind,True,0.0,0.0,
24955,Malaysia,2007,Solar,True,0.0,0.0,
24956,Malaysia,2007,Oil,False,3.02,1.99,658.9
24957,Malaysia,2007,Hydro,True,5.96,0.14,23.5
24958,Malaysia,2007,Bioenergy,True,0.76,0.16,210.5
24959,Malaysia,2007,Gas,False,67.95,42.93,631.8
24960,Malaysia,2007,Coal,False,30.86,26.67,864.2
24961,Maldives,2007,Solar,True,0.0,0.0,
24962,Maldives,2007,Oil,False,0.35,0.23,657.1
24963,Maldives,2007,Other renewables excluding bioenergy,True,0.0,0.0,
24964,Maldives,2007,Nuclear,False,0.0,0.0,
24965,Maldives,2007,Hydro,True,0.0,0.0,
24966,Maldives,2007,Gas,False,0.0,0.0,
24967,Maldives,2007,Coal,False,0.0,0.0,
24968,Maldives,2007,Bioenergy,True,0.0,0.0,
24969,Maldives,2007,Wind,True,0.0,0.0,
24970,Mali,2007,Coal,False,0.0,0.0,
24971,Mali,2007,Wind,True,0.0,0.0,
24972,Mali,2007,Solar,True,0.0,0.0,
24973,Mali,2007,Other renewables excluding bioenergy,True,0.0,0.0,
24974,Mali,2007,Oil,False,1.06,0.7,660.4
24975,Mali,2007,Nuclear,False,0.0,0.0,
24976,Mali,2007,Hydro,True,0.47,0.01,21.3
24977,Mali,2007,Gas,False,0.0,0.0,
24978,Mali,2007,Bioenergy,True,0.05,0.01,200.0
24979,Malta,2007,Hydro,True,0.0,0.0,
24980,Malta,2007,Other renewables excluding bioenergy,True,0.0,0.0,
24981,Malta,2007,Bioenergy,True,0.0,0.0,
24982,Malta,2007,Coal,False,0.0,0.0,
24983,Malta,2007,Gas,False,0.0,0.0,
24984,Malta,2007,Oil,False,2.3,1.51,656.5
24985,Malta,2007,Solar,True,0.0,0.0,
24986,Malta,2007,Nuclear,False,0.0,0.0,
24987,Mauritania,2007,Oil,False,0.59,0.39,661.0
24988,Mauritania,2007,Bioenergy,True,0.0,0.0,
24989,Mauritania,2007,Solar,True,0.0,0.0,
24990,Mauritania,2007,Wind,True,0.0,0.0,
24991,Mauritania,2007,Coal,False,0.0,0.0,
24992,Mauritania,2007,Gas,False,0.0,0.0,
24993,Mauritania,2007,Hydro,True,0.05,0.0,0.0
24994,Mauritania,2007,Nuclear,False,0.0,0.0,
24995,Mauritania,2007,Other renewables excluding bioenergy,True,0.0,0.0,
24996,Mauritius,2007,Other renewables excluding bioenergy,True,0.0,0.0,
24997,Mauritius,2007,Gas,False,0.0,0.0,
24998,Mauritius,2007,Coal,False,0.99,0.85,858.6
24999,Mauritius,2007,Bioenergy,True,0.47,0.1,212.8
25000,Mauritius,2007,Hydro,True,0.08,0.0,0.0
25001,Mauritius,2007,Nuclear,False,0.0,0.0,
25002,Mauritius,2007,Oil,False,0.92,0.61,663.0
25003,Mauritius,2007,Solar,True,0.0,0.0,
25004,Mauritius,2007,Wind,True,0.0,0.0,
25005,Mexico,2007,Bioenergy,True,8.25,1.78,215.8
25006,Mexico,2007,Coal,False,31.57,27.52,871.7
25007,Mexico,2007,Gas,False,128.79,78.64,610.6
25008,Mexico,2007,Hydro,True,27.34,0.65,23.8
25009,Mexico,2007,Nuclear,False,10.42,0.05,4.8
25010,Mexico,2007,Oil,False,56.63,37.26,658.0
25011,Mexico,2007,Solar,True,0.01,0.0,0.0
25012,Mexico,2007,Wind,True,0.25,0.0,0.0
25013,Moldova,2007,Gas,False,5.52,3.93,712.0
25014,Moldova,2007,Coal,False,0.0,0.0,
25015,Moldova,2007,Hydro,True,0.35,0.01,28.6
25016,Moldova,2007,Other renewables excluding bioenergy,True,0.0,0.0,
25017,Moldova,2007,Solar,True,0.0,0.0,
25018,Moldova,2007,Wind,True,0.0,0.0,
25019,Moldova,2007,Oil,False,0.0,0.0,
25020,Moldova,2007,Nuclear,False,0.0,0.0,
25021,Moldova,2007,Bioenergy,True,0.0,0.0,
25022,Mongolia,2007,Hydro,True,0.0,0.0,
25023,Mongolia,2007,Coal,False,3.55,3.11,876.1
25024,Mongolia,2007,Bioenergy,True,0.0,0.0,
25025,Mongolia,2007,Wind,True,0.0,0.0,
25026,Mongolia,2007,Solar,True,0.0,0.0,
25027,Mongolia,2007,Other renewables excluding bioenergy,True,0.0,0.0,
