ID_Country,Name,Region
58,Egypt Arab Rep.,Middle East & North Africa
59,Eritrea,Sub-Saharan Africa
60,Spain,Europe & Central Asia
61,Estonia,Europe & Central Asia
62,Ethiopia,Sub-Saharan Africa
63,Finland,Europe & Central Asia
64,Fiji,East Asia & Pacific
65,France,Europe & Central Asia
66,Faroe Islands,Europe & Central Asia
67,Micronesia Fed. Sts.,East Asia & Pacific
68,Gabon,Sub-Saharan Africa
69,United Kingdom,Europe & Central Asia
70,Georgia,Europe & Central Asia
71,Ghana,Sub-Saharan Africa
72,Gibraltar,Europe & Central Asia
73,Guinea,Sub-Saharan Africa
74,Gambia The,Sub-Saharan Africa
75,Guinea-Bissau,Sub-Saharan Africa
76,Equatorial Guinea,Sub-Saharan Africa
77,Greece,Europe & Central Asia
78,Grenada,Latin America & Caribbean
79,Greenland,Europe & Central Asia
80,Guatemala,Latin America & Caribbean
81,Guam,East Asia & Pacific
82,Guyana,Latin America & Caribbean
83,Hong Kong SAR China,East Asia & Pacific
84,Honduras,Latin America & Caribbean
85,Croatia,Europe & Central Asia
86,Haiti,Latin America & Caribbean
87,Hungary,Europe & Central Asia
88,Indonesia,East Asia & Pacific
89,Isle of Man,Europe & Central Asia
90,India,South Asia
91,Ireland,Europe & Central Asia
92,Iran Islamic Rep.,Middle East & North Africa
93,Iraq,Middle East & North Africa
94,Iceland,Europe & Central Asia
95,Israel,Middle East & North Africa
96,Italy,Europe & Central Asia
97,Jamaica,Latin America & Caribbean
98,Jordan,Middle East & North Africa
99,Japan,East Asia & Pacific
100,Kazakhstan,Europe & Central Asia
101,Kenya,Sub-Saharan Africa
102,Kyrgyz Republic,Europe & Central Asia
103,Cambodia,East Asia & Pacific
104,Kiribati,East Asia & Pacific
105,St. Kitts and Nevis,Latin America & Caribbean
106,Korea Rep.,East Asia & Pacific
107,Kuwait,Middle East & North Africa
108,Lao PDR,East Asia & Pacific
109,Lebanon,Middle East & North Africa
110,Liberia,Sub-Saharan Africa
111,Libya,Middle East & North Africa
112,St. Lucia,Latin America & Caribbean
113,Liechtenstein,Europe & Central Asia
114,Sri Lanka,South Asia
115,Lesotho,Sub-Saharan Africa
116,Lithuania,Europe & Central Asia
117,Luxembourg,Europe & Central Asia
118,Latvia,Europe & Central Asia
119,Macao SAR China,East Asia & Pacific
120,St. Martin (French part),Latin America & Caribbean
121,Morocco,Middle East & North Africa
122,Monaco,Europe & Central Asia
123,Moldova,Europe & Central Asia
124,Madagascar,Sub-Saharan Africa
125,Maldives,South Asia
126,Mexico,Latin America & Caribbean
127,Marshall Islands,East Asia & Pacific
128,North Macedonia,Europe & Central Asia
129,Mali,Sub-Saharan Africa
130,Malta,Middle East & North Africa
131,Myanmar,East Asia & Pacific
132,Montenegro,Europe & Central Asia
133,Mongolia,East Asia & Pacific
134,Northern Mariana Islands,East Asia & Pacific
135,Mozambique,Sub-Saharan Africa
136,Mauritania,Sub-Saharan Africa
137,Mauritius,Sub-Saharan Africa
138,Malawi,Sub-Saharan Africa
139,Malaysia,East Asia & Pacific
140,Namibia,Sub-Saharan Africa
141,New Caledonia,East Asia & Pacific
142,Niger,Sub-Saharan Africa
143,Nigeria,Sub-Saharan Africa
144,Nicaragua,Latin America & Caribbean
145,Netherlands,Europe & Central Asia
146,Norway,Europe & Central Asia
147,Nepal,South Asia
148,Nauru,East Asia & Pacific
149,New Zealand,East Asia & Pacific
150,Oman,Middle East & North Africa
151,Pakistan,South Asia
